X Y Z sizeX sizeY sizeZ
4 26 7 8 2 1
0 16 7 2 4 1
14 16 7 2 4 1
11 9 7 2 4 1
9 14 7 4 2 1
10 24 7 4 2 1
0 20 7 2 2 1
14 20 7 2 2 1
13 14 7 2 2 1
10 9 7 1 3 1
1 22 7 1 3 1
13 10 7 1 3 1
14 22 7 1 3 1
3 9 7 3 1 1
2 26 7 2 1 1
12 26 7 2 1 1
11 13 7 2 1 1
0 22 7 1 1 1
2 12 7 1 1 1
15 22 7 1 1 1
0 16 8 8 2 1
0 18 8 8 2 1
0 20 8 8 2 1
8 16 8 8 2 1
8 18 8 8 2 1
8 20 8 8 2 1
1 14 8 8 2 1
1 22 8 8 2 1
2 10 8 8 2 1
2 12 8 8 2 1
2 24 8 8 2 1
4 26 8 8 2 1
10 8 8 2 8 1
9 22 8 4 2 1
10 24 8 4 2 1
12 12 8 2 4 1
4 8 8 2 2 1
12 10 8 2 2 1
13 22 8 2 2 1
2 9 8 2 1 1
2 26 8 2 1 1
12 9 8 2 1 1
12 26 8 2 1 1
9 14 8 1 2 1
14 14 8 1 2 1
0 22 8 1 1 1
1 24 8 1 1 1
3 8 8 1 1 1
12 8 8 1 1 1
14 24 8 1 1 1
15 22 8 1 1 1
2 16 9 2 8 1
4 8 9 2 8 1
4 16 9 2 8 1
6 16 9 2 8 1
8 16 9 2 8 1
10 8 9 2 8 1
10 16 9 2 8 1
12 16 9 2 8 1
2 24 9 8 2 1
0 16 9 2 4 1
2 12 9 2 4 1
6 12 9 2 4 1
8 12 9 2 4 1
12 12 9 2 4 1
14 16 9 2 4 1
6 9 9 4 2 1
6 26 9 4 2 1
10 24 9 4 2 1
0 20 9 2 2 1
2 10 9 2 2 1
12 10 9 2 2 1
14 20 9 2 2 1
6 11 9 4 1 1
1 22 9 1 3 1
14 22 9 1 3 1
3 26 9 3 1 1
10 26 9 3 1 1
1 14 9 1 2 1
3 8 9 1 2 1
12 8 9 1 2 1
14 14 9 1 2 1
0 22 9 1 1 1
2 9 9 1 1 1
6 8 9 1 1 1
9 8 9 1 1 1
10 27 9 1 1 1
13 9 9 1 1 1
15 22 9 1 1 1
0 18 10 8 2 1
0 20 10 8 2 1
8 18 10 8 2 1
8 20 10 8 2 1
1 15 10 8 2 1
1 22 10 8 2 1
2 9 10 8 2 1
2 11 10 8 2 1
2 13 10 8 2 1
2 24 10 8 2 1
4 7 10 8 2 1
10 9 10 2 8 1
12 9 10 2 8 1
9 22 10 4 2 1
10 24 10 4 2 1
7 26 10 2 2 1
13 22 10 2 2 1
0 17 10 4 1 1
4 17 10 4 1 1
8 17 10 4 1 1
12 17 10 4 1 1
3 26 10 4 1 1
9 26 10 4 1 1
9 15 10 1 2 1
14 15 10 1 2 1
0 22 10 1 1 1
1 24 10 1 1 1
3 8 10 1 1 1
12 8 10 1 1 1
14 24 10 1 1 1
15 22 10 1 1 1
2 8 11 2 8 1
2 16 11 2 8 1
4 8 11 2 8 1
4 16 11 2 8 1
6 8 11 2 8 1
6 16 11 2 8 1
8 8 11 2 8 1
8 16 11 2 8 1
10 8 11 2 8 1
10 16 11 2 8 1
12 8 11 2 8 1
12 16 11 2 8 1
2 24 11 8 2 1
4 6 11 8 2 1
0 17 11 2 4 1
14 17 11 2 4 1
10 24 11 4 2 1
4 26 11 4 1 1
8 26 11 4 1 1
1 21 11 1 3 1
14 21 11 1 3 1
1 15 11 1 2 1
14 15 11 1 2 1
0 21 11 1 1 1
3 7 11 1 1 1
12 7 11 1 1 1
15 21 11 1 1 1
0 18 12 8 2 1
8 18 12 8 2 1
1 16 12 8 2 1
1 20 12 8 2 1
1 22 12 8 2 1
2 8 12 8 2 1
2 10 12 8 2 1
2 12 12 8 2 1
2 14 12 8 2 1
3 6 12 8 2 1
3 24 12 8 2 1
10 8 12 2 8 1
12 8 12 2 8 1
9 16 12 4 2 1
9 20 12 4 2 1
9 22 12 4 2 1
13 20 12 2 4 1
11 6 12 2 2 1
11 24 12 2 2 1
13 16 12 2 2 1
5 5 12 4 1 1
6 26 12 4 1 1
9 5 12 2 1 1
0 17 12 1 1 1
0 20 12 1 1 1
2 24 12 1 1 1
13 24 12 1 1 1
15 17 12 1 1 1
15 20 12 1 1 1
2 8 13 2 8 1
2 16 13 2 8 1
4 8 13 2 8 1
4 16 13 2 8 1
6 8 13 2 8 1
6 16 13 2 8 1
8 8 13 2 8 1
8 16 13 2 8 1
10 8 13 2 8 1
10 16 13 2 8 1
12 8 13 2 8 1
12 16 13 2 8 1
3 6 13 8 2 1
4 24 13 8 2 1
7 4 13 2 2 1
11 6 13 2 2 1
1 16 13 1 4 1
14 16 13 1 4 1
1 20 13 1 3 1
14 20 13 1 3 1
9 5 13 3 1 1
4 5 13 3 1 1
3 24 13 1 1 1
12 24 13 1 1 1
15 19 13 1 1 1
1 18 14 8 2 1
2 7 14 8 2 1
2 9 14 8 2 1
2 11 14 8 2 1
2 16 14 8 2 1
2 20 14 8 2 1
3 13 14 8 2 1
3 22 14 8 2 1
4 5 14 8 2 1
11 7 14 2 8 1
11 15 14 2 8 1
6 24 14 4 2 1
9 18 14 2 2 1
13 18 14 2 2 1
4 15 14 4 1 1
5 4 14 4 1 1
10 8 14 1 4 1
13 8 14 1 4 1
8 15 14 3 1 1
13 20 14 1 3 1
4 24 14 2 1 1
10 24 14 2 1 1
9 4 14 2 1 1
11 23 14 2 1 1
10 16 14 1 2 1
10 20 14 1 2 1
13 12 14 1 2 1
13 16 14 1 2 1
1 20 14 1 1 1
2 13 14 1 1 1
2 22 14 1 1 1
3 6 14 1 1 1
3 15 14 1 1 1
10 7 14 1 1 1
10 12 14 1 1 1
12 6 14 1 1 1
13 7 14 1 1 1
14 20 14 1 1 1
4 8 15 2 8 1
4 16 15 2 8 1
6 8 15 2 8 1
6 16 15 2 8 1
8 8 15 2 8 1
8 16 15 2 8 1
10 8 15 2 8 1
10 16 15 2 8 1
3 6 15 8 2 1
2 8 15 2 4 1
12 8 15 2 4 1
2 17 15 2 4 1
12 17 15 2 4 1
5 4 15 4 2 1
2 12 15 2 2 1
12 12 15 2 2 1
9 4 15 2 2 1
11 6 15 2 2 1
5 24 15 4 1 1
3 14 15 1 3 1
12 14 15 1 3 1
3 21 15 1 2 1
12 21 15 1 2 1
9 24 15 2 1 1
2 7 15 1 1 1
2 21 15 1 1 1
4 5 15 1 1 1
11 5 15 1 1 1
13 7 15 1 1 1
13 21 15 1 1 1
2 8 16 8 2 1
2 10 16 8 2 1
2 12 16 8 2 1
3 6 16 8 2 1
3 17 16 8 2 1
3 19 16 8 2 1
4 14 16 8 2 1
4 21 16 8 2 1
11 6 16 2 8 1
5 4 16 4 2 1
11 17 16 2 4 1
7 23 16 2 2 1
9 4 16 2 2 1
4 16 16 4 1 1
8 16 16 4 1 1
10 8 16 1 4 1
13 8 16 1 4 1
5 23 16 2 1 1
7 3 16 2 1 1
9 23 16 2 1 1
10 12 16 1 2 1
13 12 16 1 2 1
3 14 16 1 1 1
3 21 16 1 1 1
4 5 16 1 1 1
11 5 16 1 1 1
12 14 16 1 1 1
12 21 16 1 1 1
4 8 17 2 8 1
6 8 17 2 8 1
8 8 17 2 8 1
10 8 17 2 8 1
7 16 17 2 8 1
3 6 17 8 2 1
2 8 17 2 4 1
4 16 17 2 4 1
10 16 17 2 4 1
12 8 17 2 4 1
5 4 17 4 2 1
5 20 17 2 2 1
9 4 17 2 2 1
9 20 17 2 2 1
11 6 17 2 2 1
6 16 17 1 4 1
9 16 17 1 4 1
6 3 17 4 1 1
3 12 17 1 3 1
12 12 17 1 3 1
5 22 17 2 1 1
9 22 17 2 1 1
2 12 17 1 1 1
4 5 17 1 1 1
4 20 17 1 1 1
11 5 17 1 1 1
11 20 17 1 1 1
13 12 17 1 1 1
2 9 18 8 2 1
2 11 18 8 2 1
3 7 18 8 2 1
4 5 18 8 2 1
4 13 18 8 2 1
5 3 18 4 2 1
5 15 18 4 2 1
5 17 18 4 2 1
6 1 18 4 2 1
6 19 18 4 2 1
10 9 18 4 2 1
10 11 18 4 2 1
9 15 18 2 4 1
9 3 18 2 2 1
11 7 18 2 2 1
