X Y Z sizeX sizeY sizeZ
1 7 0 4 2 1
6 7 0 4 2 1
2 29 0 2 4 1
7 29 0 2 4 1
2 9 0 2 2 1
7 9 0 2 2 1
4 29 0 1 2 1
6 29 0 1 2 1
1 9 0 1 1 1
3 28 0 1 1 1
6 9 0 1 1 1
7 28 0 1 1 1
9 9 0 1 1 1
2 7 1 2 4 1
2 29 1 2 4 1
7 7 1 2 4 1
7 29 1 2 4 1
4 29 1 1 3 1
6 29 1 1 3 1
1 8 1 1 2 1
4 8 1 1 2 1
6 8 1 1 2 1
9 8 1 1 2 1
3 28 1 1 1 1
7 28 1 1 1 1
2 29 2 2 4 1
2 8 2 2 2 1
6 30 2 2 2 1
7 8 2 2 2 1
8 30 2 1 3 1
2 10 2 2 1 1
7 10 2 2 1 1
4 30 2 1 2 1
1 9 2 1 1 1
7 29 2 1 1 1
7 32 2 1 1 1
9 9 2 1 1 1
2 8 3 2 4 1
2 29 3 2 4 1
7 8 3 2 4 1
7 29 3 2 4 1
4 30 3 1 2 1
6 30 3 1 2 1
1 9 3 1 2 1
9 9 3 1 2 1
2 8 4 2 4 1
2 29 4 2 4 1
7 8 4 2 4 1
7 29 4 2 4 1
4 30 4 1 2 1
6 30 4 1 2 1
1 9 4 1 2 1
9 9 4 1 2 1
2 29 5 2 4 1
7 29 5 2 4 1
2 10 5 2 2 1
7 9 5 2 2 1
1 9 5 3 1 1
4 30 5 1 2 1
6 30 5 1 2 1
9 9 5 1 2 1
7 11 5 2 1 1
1 10 5 1 1 1
2 29 6 2 4 1
7 29 6 2 4 1
2 10 6 2 2 1
7 9 6 2 2 1
1 9 6 3 1 1
4 29 6 1 3 1
6 29 6 1 3 1
7 11 6 2 1 1
9 9 6 1 2 1
1 10 6 1 1 1
2 29 7 2 4 1
7 29 7 2 4 1
2 10 7 2 2 1
7 9 7 2 2 1
4 29 7 1 3 1
6 29 7 1 3 1
1 9 7 3 1 1
9 9 7 1 2 1
7 11 7 2 1 1
1 10 7 1 1 1
3 28 7 1 1 1
7 28 7 1 1 1
6 29 8 4 2 1
2 8 8 2 4 1
2 28 8 2 4 1
7 8 8 2 4 1
4 28 8 1 4 1
6 28 8 3 1 1
6 31 8 3 1 1
9 9 8 1 3 1
2 32 8 2 1 1
1 9 8 1 2 1
1 29 8 1 1 1
7 32 8 1 1 1
2 8 9 2 4 1
2 28 9 2 4 1
6 28 9 2 4 1
8 8 9 2 4 1
8 29 9 2 2 1
1 8 9 1 4 1
4 28 9 1 4 1
7 8 9 1 4 1
6 27 9 3 1 1
2 27 9 3 1 1
1 29 9 1 2 1
8 31 9 1 2 1
2 32 9 2 1 1
4 10 9 1 1 1
6 10 9 1 1 1
7 32 9 1 1 1
8 28 9 1 1 1
1 9 10 4 2 1
1 27 10 4 2 1
1 29 10 4 2 1
6 9 10 4 2 1
6 27 10 4 2 1
6 29 10 4 2 1
1 8 10 3 1 1
1 11 10 3 1 1
7 8 10 3 1 1
7 11 10 3 1 1
2 31 10 2 1 1
7 31 10 2 1 1
2 8 11 2 4 1
2 28 11 2 4 1
8 8 11 2 4 1
6 27 11 2 4 1
8 27 11 2 4 1
2 26 11 2 2 1
6 9 11 2 2 1
1 8 11 1 4 1
1 27 11 1 4 1
4 27 11 1 4 1
10 28 11 1 2 1
4 9 11 1 2 1
7 26 11 2 1 1
7 31 11 2 1 1
0 28 11 1 1 1
7 8 11 1 1 1
7 11 11 1 1 1
0 28 12 4 2 1
0 9 12 4 2 1
1 26 12 4 2 1
6 9 12 4 2 1
6 26 12 4 2 1
6 28 12 4 2 1
2 30 12 2 2 1
8 30 12 2 2 1
1 11 12 4 1 1
6 11 12 4 1 1
1 8 12 3 1 1
7 8 12 3 1 1
10 27 12 1 3 1
4 28 12 1 3 1
6 30 12 2 1 1
7 25 12 2 1 1
1 30 12 1 2 1
4 9 12 1 2 1
10 9 12 1 2 1
0 27 12 1 1 1
2 25 12 1 1 1
7 31 12 1 1 1
3 8 13 2 8 1
5 12 13 2 8 1
2 28 13 2 4 1
6 8 13 2 4 1
8 8 13 2 4 1
8 28 13 2 4 1
1 8 13 2 4 1
6 25 13 2 4 1
7 13 13 2 4 1
1 26 13 4 2 1
0 28 13 2 2 1
2 16 13 2 2 1
8 26 13 2 2 1
6 29 13 2 2 1
4 16 13 1 4 1
10 27 13 1 3 1
0 8 13 1 3 1
2 13 13 1 3 1
4 28 13 1 3 1
7 17 13 1 3 1
10 8 13 1 3 1
1 30 13 1 2 1
2 7 13 2 1 1
2 25 13 2 1 1
7 7 13 2 1 1
0 27 13 1 1 1
3 18 13 1 1 1
7 31 13 1 1 1
8 17 13 1 1 1
8 25 13 1 1 1
0 8 14 8 2 1
0 26 14 8 2 1
0 28 14 8 2 1
1 10 14 8 2 1
4 16 14 2 8 1
2 12 14 2 8 1
6 12 14 2 8 1
4 12 14 2 4 1
8 28 14 2 4 1
2 30 14 2 2 1
4 24 14 2 2 1
6 20 14 2 2 1
8 8 14 2 2 1
8 26 14 2 2 1
6 25 14 4 1 1
8 12 14 1 4 1
8 16 14 1 4 1
10 26 14 1 4 1
1 7 14 3 1 1
1 25 14 3 1 1
7 7 14 3 1 1
6 22 14 1 3 1
10 8 14 1 3 1
0 30 14 2 1 1
6 30 14 2 1 1
3 20 14 1 2 1
9 10 14 1 2 1
0 10 14 1 1 1
1 31 14 1 1 1
4 30 14 1 1 1
7 31 14 1 1 1
10 30 14 1 1 1
2 8 15 2 8 1
4 8 15 2 8 1
4 16 15 2 8 1
6 8 15 2 8 1
6 16 15 2 8 1
6 24 15 2 8 1
8 8 15 2 8 1
3 24 15 2 8 1
2 16 15 2 4 1
8 28 15 2 4 1
0 26 15 2 4 1
0 8 15 2 2 1
2 20 15 2 2 1
8 16 15 2 2 1
8 26 15 2 2 1
1 30 15 2 2 1
1 12 15 1 4 1
5 24 15 1 4 1
2 25 15 1 4 1
8 18 15 1 4 1
10 26 15 1 4 1
