X Y Z sizeX sizeY sizeZ
4 3 6 1 1 1
4 42 6 1 1 1
5 11 6 1 1 1
5 34 6 1 1 1
9 3 6 1 1 1
9 42 6 1 1 1
10 11 6 1 1 1
10 34 6 1 1 1
34 10 6 1 1 1
35 34 6 1 1 1
36 3 6 1 1 1
36 42 6 1 1 1
40 11 6 1 1 1
40 34 6 1 1 1
41 3 6 1 1 1
41 42 6 1 1 1
42 4 6 1 1 1
42 9 6 1 1 1
42 36 6 1 1 1
42 41 6 1 1 1
5 4 7 2 8 1
5 34 7 2 8 1
9 4 7 2 8 1
9 34 7 2 8 1
34 4 7 2 8 1
34 34 7 2 8 1
39 4 7 2 8 1
39 34 7 2 8 1
36 8 7 2 4 1
36 36 7 2 4 1
7 5 7 2 4 1
7 34 7 2 4 1
36 6 7 2 2 1
36 34 7 2 2 1
7 9 7 2 2 1
7 38 7 2 2 1
11 4 7 1 4 1
11 8 7 1 4 1
11 36 7 1 4 1
38 8 7 1 4 1
38 36 7 1 4 1
4 9 7 1 3 1
4 39 7 1 3 1
41 9 7 1 3 1
41 39 7 1 3 1
4 4 7 1 3 1
4 34 7 1 3 1
38 5 7 1 3 1
41 4 7 1 3 1
41 34 7 1 3 1
36 40 7 3 1 1
11 34 7 1 2 1
11 40 7 1 2 1
36 4 7 1 2 1
38 34 7 1 2 1
7 11 7 2 1 1
7 40 7 2 1 1
36 41 7 1 1 1
37 5 7 1 1 1
5 5 8 8 2 1
5 7 8 8 2 1
5 9 8 8 2 1
5 34 8 8 2 1
5 36 8 8 2 1
5 38 8 8 2 1
33 5 8 8 2 1
33 7 8 8 2 1
33 9 8 8 2 1
33 34 8 8 2 1
33 36 8 8 2 1
33 38 8 8 2 1
5 11 8 4 2 1
34 11 8 4 2 1
9 11 8 2 2 1
38 11 8 2 2 1
8 33 8 4 1 1
8 40 8 4 1 1
36 33 8 4 1 1
36 40 8 4 1 1
33 40 8 3 1 1
5 33 8 3 1 1
5 40 8 3 1 1
34 33 8 2 1 1
11 11 8 2 1 1
40 11 8 1 2 1
11 12 8 1 1 1
12 40 8 1 1 1
33 11 8 1 1 1
40 33 8 1 1 1
40 40 8 1 1 1
6 32 9 2 8 1
8 32 9 2 8 1
10 32 9 2 8 1
34 32 9 2 8 1
36 32 9 2 8 1
38 32 9 2 8 1
6 6 9 2 8 1
8 6 9 2 8 1
10 5 9 2 8 1
33 5 9 2 8 1
35 6 9 2 8 1
37 6 9 2 8 1
12 8 9 2 4 1
12 36 9 2 4 1
32 36 9 2 4 1
12 6 9 2 2 1
12 34 9 2 2 1
32 34 9 2 2 1
39 5 9 2 2 1
39 10 9 2 2 1
32 8 9 1 4 1
5 33 9 1 3 1
40 33 9 1 3 1
5 10 9 1 3 1
39 7 9 1 3 1
33 40 9 3 1 1
10 13 9 3 1 1
10 40 9 3 1 1
12 32 9 1 2 1
32 6 9 1 2 1
33 32 9 1 2 1
39 12 9 1 2 1
5 5 9 1 2 1
5 39 9 1 2 1
40 39 9 1 2 1
12 12 9 2 1 1
33 13 9 2 1 1
6 5 9 1 1 1
6 40 9 1 1 1
12 5 9 1 1 1
13 33 9 1 1 1
32 12 9 1 1 1
32 33 9 1 1 1
35 5 9 1 1 1
39 40 9 1 1 1
40 12 9 1 1 1
32 6 10 8 2 1
32 8 10 8 2 1
32 10 10 8 2 1
32 34 10 8 2 1
32 36 10 8 2 1
32 38 10 8 2 1
6 6 10 8 2 1
6 8 10 8 2 1
6 10 10 8 2 1
6 33 10 8 2 1
6 35 10 8 2 1
6 37 10 8 2 1
8 12 10 4 2 1
36 12 10 4 2 1
36 32 10 4 2 1
6 31 10 4 2 1
6 12 10 2 2 1
34 12 10 2 2 1
34 32 10 2 2 1
10 31 10 2 2 1
8 14 10 4 1 1
8 39 10 4 1 1
36 14 10 4 1 1
36 31 10 4 1 1
14 8 10 1 4 1
14 36 10 1 4 1
31 8 10 1 4 1
31 36 10 1 4 1
12 12 10 3 1 1
33 14 10 3 1 1
33 31 10 3 1 1
31 12 10 3 1 1
31 33 10 3 1 1
14 33 10 1 3 1
6 14 10 2 1 1
6 39 10 2 1 1
12 39 10 2 1 1
14 6 10 1 2 1
31 6 10 1 2 1
31 34 10 1 2 1
12 13 10 1 2 1
12 31 10 1 2 1
33 13 10 1 1 1
33 32 10 1 1 1
8 12 11 2 4 1
12 12 11 2 4 1
32 12 11 2 4 1
36 12 11 2 4 1
7 30 11 2 4 1
11 30 11 2 4 1
32 29 11 2 4 1
36 29 11 2 4 1
12 8 11 4 2 1
12 36 11 4 2 1
29 7 11 4 2 1
29 33 11 4 2 1
29 36 11 4 2 1
6 6 11 2 2 1
6 38 11 2 2 1
8 8 11 2 2 1
8 36 11 2 2 1
14 12 11 2 2 1
14 32 11 2 2 1
30 12 11 2 2 1
36 8 11 2 2 1
36 36 11 2 2 1
38 6 11 2 2 1
38 38 11 2 2 1
33 7 11 2 2 1
33 33 11 2 2 1
33 36 11 2 2 1
36 33 11 2 2 1
7 12 11 1 4 1
11 12 11 1 4 1
34 12 11 1 4 1
38 12 11 1 4 1
9 29 11 1 4 1
13 29 11 1 4 1
34 29 11 1 4 1
38 29 11 1 4 1
12 7 11 4 1 1
12 11 11 4 1 1
12 34 11 4 1 1
12 38 11 4 1 1
29 9 11 4 1 1
29 11 11 4 1 1
29 38 11 4 1 1
11 36 11 1 3 1
16 36 11 1 3 1
11 7 11 1 3 1
36 11 11 3 1 1
36 16 11 3 1 1
7 11 11 3 1 1
7 16 11 3 1 1
7 34 11 3 1 1
29 32 11 3 1 1
7 8 11 1 2 1
7 36 11 1 2 1
16 8 11 1 2 1
29 12 11 1 2 1
33 38 11 1 2 1
38 8 11 1 2 1
38 36 11 1 2 1
38 33 11 1 2 1
8 7 11 2 1 1
8 38 11 2 1 1
36 7 11 2 1 1
36 38 11 2 1 1
33 9 11 2 1 1
33 11 11 2 1 1
6 12 11 1 1 1
6 14 11 1 1 1
6 33 11 1 1 1
8 29 11 1 1 1
9 33 11 1 1 1
11 11 11 1 1 1
11 16 11 1 1 1
11 34 11 1 1 1
12 6 11 1 1 1
12 29 11 1 1 1
12 39 11 1 1 1
13 16 11 1 1 1
13 33 11 1 1 1
16 11 11 1 1 1
16 13 11 1 1 1
16 32 11 1 1 1
16 34 11 1 1 1
31 6 11 1 1 1
31 39 11 1 1 1
