X Y Z sizeX sizeY sizeZ
46 72 3 2 8 1
46 80 3 2 8 1
48 32 3 2 8 1
48 40 3 2 8 1
48 48 3 2 8 1
48 56 3 2 8 1
48 64 3 2 8 1
48 72 3 2 8 1
48 80 3 2 8 1
50 24 3 2 8 1
50 32 3 2 8 1
50 40 3 2 8 1
50 48 3 2 8 1
50 56 3 2 8 1
50 64 3 2 8 1
50 72 3 2 8 1
50 80 3 2 8 1
52 24 3 2 8 1
52 32 3 2 8 1
52 40 3 2 8 1
52 48 3 2 8 1
52 56 3 2 8 1
52 64 3 2 8 1
52 72 3 2 8 1
52 80 3 2 8 1
54 24 3 2 8 1
54 32 3 2 8 1
54 40 3 2 8 1
54 48 3 2 8 1
54 56 3 2 8 1
54 64 3 2 8 1
54 72 3 2 8 1
54 80 3 2 8 1
56 24 3 2 8 1
56 32 3 2 8 1
56 40 3 2 8 1
56 48 3 2 8 1
56 56 3 2 8 1
56 64 3 2 8 1
56 72 3 2 8 1
56 80 3 2 8 1
58 24 3 2 8 1
58 32 3 2 8 1
58 40 3 2 8 1
58 48 3 2 8 1
58 56 3 2 8 1
58 64 3 2 8 1
58 72 3 2 8 1
58 80 3 2 8 1
60 32 3 2 8 1
60 40 3 2 8 1
60 48 3 2 8 1
60 56 3 2 8 1
60 64 3 2 8 1
60 72 3 2 8 1
60 80 3 2 8 1
62 32 3 2 8 1
62 40 3 2 8 1
62 48 3 2 8 1
62 56 3 2 8 1
62 64 3 2 8 1
62 72 3 2 8 1
62 80 3 2 8 1
64 32 3 2 8 1
64 40 3 2 8 1
64 48 3 2 8 1
64 56 3 2 8 1
64 64 3 2 8 1
64 72 3 2 8 1
64 80 3 2 8 1
66 32 3 2 8 1
66 40 3 2 8 1
66 48 3 2 8 1
66 56 3 2 8 1
66 64 3 2 8 1
66 72 3 2 8 1
68 32 3 2 8 1
68 40 3 2 8 1
68 48 3 2 8 1
68 56 3 2 8 1
68 64 3 2 8 1
68 72 3 2 8 1
70 32 3 2 8 1
70 40 3 2 8 1
70 48 3 2 8 1
70 56 3 2 8 1
70 64 3 2 8 1
70 72 3 2 8 1
72 32 3 2 8 1
72 40 3 2 8 1
72 48 3 2 8 1
72 56 3 2 8 1
72 64 3 2 8 1
72 72 3 2 8 1
74 32 3 2 8 1
74 40 3 2 8 1
74 48 3 2 8 1
74 56 3 2 8 1
74 64 3 2 8 1
74 72 3 2 8 1
76 32 3 2 8 1
76 40 3 2 8 1
76 48 3 2 8 1
76 56 3 2 8 1
76 64 3 2 8 1
76 72 3 2 8 1
78 40 3 2 8 1
78 48 3 2 8 1
78 56 3 2 8 1
78 64 3 2 8 1
80 40 3 2 8 1
80 48 3 2 8 1
80 56 3 2 8 1
80 64 3 2 8 1
82 40 3 2 8 1
82 48 3 2 8 1
82 56 3 2 8 1
82 64 3 2 8 1
28 87 3 2 8 1
40 88 3 8 2 1
40 90 3 8 2 1
48 88 3 8 2 1
64 30 3 8 2 1
34 92 3 8 2 1
60 27 3 8 2 1
66 80 3 8 2 1
66 82 3 8 2 1
30 84 3 2 4 1
32 76 3 2 4 1
34 88 3 2 4 1
36 88 3 2 4 1
38 60 3 2 4 1
38 88 3 2 4 1
40 52 3 2 4 1
46 36 3 2 4 1
78 36 3 2 4 1
78 72 3 2 4 1
80 36 3 2 4 1
80 72 3 2 4 1
37 41 3 2 4 1
47 23 3 2 4 1
84 46 3 2 4 1
48 90 3 4 2 1
56 88 3 4 2 1
60 30 3 4 2 1
72 30 3 4 2 1
43 25 3 4 2 1
66 84 3 4 2 1
30 82 3 2 2 1
34 70 3 2 2 1
42 92 3 2 2 1
44 38 3 2 2 1
48 30 3 2 2 1
52 90 3 2 2 1
68 28 3 2 2 1
74 80 3 2 2 1
78 34 3 2 2 1
78 76 3 2 2 1
82 38 3 2 2 1
82 72 3 2 2 1
26 93 3 2 2 1
60 25 3 2 2 1
39 44 3 1 4 1
39 56 3 1 4 1
41 48 3 1 4 1
47 32 3 1 4 1
49 24 3 1 4 1
84 52 3 1 4 1
84 56 3 1 4 1
44 92 3 4 1 1
60 29 3 4 1 1
64 29 3 4 1 1
62 26 3 4 1 1
27 90 3 1 3 1
29 84 3 1 3 1
36 42 3 1 3 1
31 79 3 1 3 1
33 73 3 1 3 1
35 67 3 1 3 1
37 61 3 1 3 1
39 41 3 1 3 1
84 43 3 1 3 1
60 88 3 3 1 1
34 94 3 3 1 1
41 39 3 3 1 1
70 29 3 3 1 1
70 84 3 3 1 1
49 28 3 1 2 1
78 78 3 1 2 1
84 50 3 1 2 1
84 60 3 1 2 1
54 90 3 2 1 1
66 86 3 2 1 1
76 80 3 2 1 1
41 26 3 2 1 1
45 24 3 2 1 1
29 95 3 1 1 1
38 45 3 1 1 1
38 59 3 1 1 1
40 48 3 1 1 1
46 35 3 1 1 1
48 29 3 1 1 1
49 23 3 1 1 1
60 89 3 1 1 1
70 85 3 1 1 1
74 82 3 1 1 1
76 31 3 1 1 1
78 33 3 1 1 1
79 78 3 1 1 1
80 35 3 1 1 1
80 76 3 1 1 1
82 37 3 1 1 1
85 50 3 1 1 1
16 62 4 8 2 1
16 64 4 8 2 1
16 66 4 8 2 1
16 68 4 8 2 1
16 70 4 8 2 1
16 72 4 8 2 1
16 74 4 8 2 1
16 76 4 8 2 1
16 78 4 8 2 1
16 80 4 8 2 1
16 82 4 8 2 1
16 84 4 8 2 1
16 86 4 8 2 1
16 88 4 8 2 1
24 38 4 8 2 1
24 40 4 8 2 1
24 42 4 8 2 1
24 44 4 8 2 1
24 46 4 8 2 1
24 48 4 8 2 1
24 50 4 8 2 1
24 52 4 8 2 1
24 54 4 8 2 1
24 56 4 8 2 1
24 58 4 8 2 1
24 60 4 8 2 1
24 62 4 8 2 1
24 64 4 8 2 1
24 66 4 8 2 1
24 68 4 8 2 1
24 70 4 8 2 1
24 72 4 8 2 1
24 74 4 8 2 1
24 76 4 8 2 1
24 78 4 8 2 1
24 80 4 8 2 1
24 82 4 8 2 1
24 84 4 8 2 1
24 86 4 8 2 1
24 88 4 8 2 1
24 90 4 8 2 1
24 92 4 8 2 1
32 26 4 8 2 1
32 28 4 8 2 1
32 30 4 8 2 1
32 32 4 8 2 1
32 34 4 8 2 1
32 36 4 8 2 1
32 38 4 8 2 1
32 40 4 8 2 1
32 42 4 8 2 1
32 44 4 8 2 1
32 46 4 8 2 1
32 48 4 8 2 1
32 50 4 8 2 1
32 52 4 8 2 1
32 54 4 8 2 1
32 56 4 8 2 1
32 58 4 8 2 1
32 60 4 8 2 1
32 62 4 8 2 1
32 64 4 8 2 1
32 66 4 8 2 1
32 68 4 8 2 1
32 70 4 8 2 1
32 72 4 8 2 1
32 74 4 8 2 1
32 76 4 8 2 1
32 78 4 8 2 1
32 80 4 8 2 1
32 82 4 8 2 1
32 84 4 8 2 1
32 86 4 8 2 1
32 88 4 8 2 1
32 90 4 8 2 1
40 24 4 8 2 1
40 26 4 8 2 1
40 28 4 8 2 1
40 30 4 8 2 1
40 32 4 8 2 1
40 34 4 8 2 1
40 36 4 8 2 1
40 38 4 8 2 1
40 40 4 8 2 1
40 42 4 8 2 1
40 44 4 8 2 1
40 46 4 8 2 1
40 48 4 8 2 1
40 50 4 8 2 1
40 52 4 8 2 1
40 54 4 8 2 1
40 56 4 8 2 1
40 58 4 8 2 1
40 60 4 8 2 1
40 62 4 8 2 1
40 64 4 8 2 1
40 66 4 8 2 1
40 68 4 8 2 1
40 70 4 8 2 1
40 72 4 8 2 1
40 74 4 8 2 1
40 76 4 8 2 1
40 78 4 8 2 1
40 80 4 8 2 1
40 82 4 8 2 1
40 84 4 8 2 1
40 86 4 8 2 1
40 88 4 8 2 1
40 90 4 8 2 1
48 24 4 8 2 1
48 26 4 8 2 1
48 28 4 8 2 1
48 30 4 8 2 1
48 32 4 8 2 1
48 34 4 8 2 1
48 36 4 8 2 1
48 38 4 8 2 1
48 40 4 8 2 1
48 42 4 8 2 1
48 44 4 8 2 1
48 46 4 8 2 1
48 48 4 8 2 1
48 50 4 8 2 1
48 52 4 8 2 1
48 54 4 8 2 1
48 56 4 8 2 1
48 58 4 8 2 1
48 60 4 8 2 1
48 62 4 8 2 1
48 64 4 8 2 1
48 66 4 8 2 1
48 68 4 8 2 1
48 70 4 8 2 1
48 72 4 8 2 1
48 74 4 8 2 1
48 76 4 8 2 1
48 78 4 8 2 1
48 80 4 8 2 1
48 82 4 8 2 1
48 84 4 8 2 1
48 86 4 8 2 1
48 88 4 8 2 1
56 26 4 8 2 1
56 28 4 8 2 1
56 30 4 8 2 1
56 32 4 8 2 1
56 34 4 8 2 1
56 36 4 8 2 1
56 38 4 8 2 1
56 40 4 8 2 1
56 42 4 8 2 1
56 44 4 8 2 1
56 46 4 8 2 1
56 48 4 8 2 1
