0,1,0,1,2,2,1,3,0,1,0,0
0,1,2,1,2,2,1,3,0,1,0,0
0,3,0,1,1,2,1,3,0,1,0,0
0,3,2,1,1,2,1,3,0,1,0,0
0,11,0,1,2,2,1,3,0,1,0,0
0,11,2,1,2,2,1,3,0,1,0,0
0,13,0,1,1,2,1,3,0,1,0,0
0,13,2,1,1,2,1,3,0,1,0,0
0,5,1,1,1,1,1,0,1,1,0,0
0,5,3,1,1,1,1,0,1,1,0,0
0,10,1,1,1,1,1,0,1,1,0,0
0,10,3,1,1,1,1,0,1,1,0,0
0,5,0,1,1,1,1,0,1,1,0,0
0,5,2,1,1,1,1,0,1,1,0,0
0,7,1,1,1,1,1,0,1,1,0,0
0,7,3,1,1,1,1,0,1,1,0,0
0,16,0,1,2,2,1,5,0,1,0,0
0,16,2,1,2,2,1,5,0,1,0,0
0,18,0,1,2,2,1,5,0,1,0,0
0,18,2,1,1,2,1,5,0,1,0,0
0,19,2,1,2,2,1,5,0,1,0,0
0,20,0,1,2,2,1,5,0,1,0,0
0,21,2,1,2,2,1,5,0,1,0,0
0,22,0,1,2,2,1,5,0,1,0,0
0,23,2,1,2,2,1,5,0,1,0,0
0,24,0,1,2,2,1,5,0,1,0,0
0,25,2,1,2,2,1,5,0,1,0,0
0,26,0,1,2,2,1,5,0,1,0,0
0,27,2,1,2,2,1,5,0,1,0,0
0,28,0,1,1,2,1,5,0,1,0,0
0,29,0,1,2,2,1,5,0,1,0,0
0,29,2,1,2,2,1,5,0,1,0,0
0,1,0,2,2,2,1,3,0,1,0,0
0,1,2,2,2,2,1,3,0,1,0,0
0,3,0,2,1,2,1,3,0,1,0,0
0,3,2,2,1,2,1,3,0,1,0,0
0,11,0,2,1,2,1,3,0,1,0,0
0,11,2,2,1,2,1,3,0,1,0,0
0,12,0,2,2,2,1,3,0,1,0,0
0,12,2,2,2,2,1,3,0,1,0,0
0,4,0,2,2,2,1,3,0,1,0,0
0,4,2,2,2,2,1,3,0,1,0,0
0,9,0,2,2,2,1,3,0,1,0,0
0,9,2,2,2,2,1,3,0,1,0,0
0,7,1,2,1,1,1,0,1,1,0,0
0,7,3,2,1,1,1,0,1,1,0,0
0,16,0,2,2,2,1,5,0,1,0,0
0,16,2,2,2,2,1,5,0,1,0,0
0,18,0,2,2,2,1,5,0,1,0,0
0,18,2,2,1,2,1,5,0,1,0,0
0,19,2,2,2,2,1,5,0,1,0,0
0,20,0,2,2,2,1,5,0,1,0,0
0,21,2,2,2,2,1,5,0,1,0,0
0,22,0,2,2,2,1,5,0,1,0,0
0,23,2,2,2,2,1,5,0,1,0,0
0,24,0,2,2,2,1,5,0,1,0,0
0,25,2,2,2,2,1,5,0,1,0,0
0,26,0,2,2,2,1,5,0,1,0,0
0,27,2,2,2,2,1,5,0,1,0,0
0,28,0,2,1,2,1,5,0,1,0,0
0,29,0,2,2,2,1,5,0,1,0,0
0,29,2,2,2,2,1,5,0,1,0,0
0,1,0,3,2,2,1,2,0,1,0,0
0,1,2,3,2,2,1,2,0,1,0,0
0,3,0,3,2,2,1,2,0,1,0,0
0,3,2,3,2,2,1,2,0,1,0,0
0,10,0,3,2,2,1,2,0,1,0,0
0,10,2,3,2,2,1,2,0,1,0,0
0,12,0,3,2,2,1,2,0,1,0,0
0,12,2,3,2,2,1,2,0,1,0,0
0,5,0,3,2,2,1,2,0,1,0,0
0,5,2,3,2,2,1,2,0,1,0,0
0,8,0,3,2,2,1,2,0,1,0,0
0,8,2,3,2,2,1,2,0,1,0,0
0,7,1,3,1,1,1,0,1,1,0,0
0,7,3,3,1,1,1,0,1,1,0,0
0,21,0,3,2,2,1,5,0,1,0,0
0,21,2,3,2,2,1,5,0,1,0,0
0,23,0,3,1,2,1,5,0,1,0,0
0,23,2,3,1,2,1,5,0,1,0,0
0,24,0,3,2,2,1,5,0,1,0,0
0,24,2,3,2,2,1,5,0,1,0,0
0,1,0,4,2,2,1,2,0,1,0,0
0,1,2,4,2,2,1,2,0,1,0,0
0,3,0,4,2,2,1,2,0,1,0,0
0,3,2,4,2,2,1,2,0,1,0,0
0,5,0,4,2,2,1,2,0,1,0,0
0,5,2,4,2,2,1,2,0,1,0,0
0,9,0,4,2,2,1,2,0,1,0,0
0,9,2,4,2,2,1,2,0,1,0,0
0,11,0,4,1,2,1,2,0,1,0,0
0,11,2,4,1,2,1,2,0,1,0,0
0,12,0,4,2,2,1,2,0,1,0,0
0,12,2,4,2,2,1,2,0,1,0,0
0,7,0,4,2,2,1,2,0,1,0,0
0,7,2,4,2,2,1,2,0,1,0,0
0,21,0,4,2,2,1,4,0,1,0,0
0,21,2,4,2,2,1,4,0,1,0,0
0,23,0,4,1,2,1,4,0,1,0,0
0,23,2,4,1,2,1,4,0,1,0,0
0,24,0,4,2,2,1,4,0,1,0,0
0,24,2,4,2,2,1,4,0,1,0,0
0,1,0,5,2,2,1,1,0,1,0,0
0,1,2,5,2,2,1,1,0,1,0,0
0,3,0,5,2,2,1,1,0,1,0,0
0,3,2,5,2,2,1,1,0,1,0,0
0,5,0,5,2,2,1,1,0,1,0,0
0,5,2,5,2,2,1,1,0,1,0,0
0,7,0,5,2,2,1,1,0,1,0,0
0,7,2,5,2,2,1,1,0,1,0,0
0,9,0,5,2,2,1,1,0,1,0,0
0,9,2,5,2,2,1,1,0,1,0,0
0,11,0,5,1,2,1,1,0,1,0,0
0,11,2,5,1,2,1,1,0,1,0,0
0,12,0,5,2,2,1,1,0,1,0,0
0,12,2,5,2,2,1,1,0,1,0,0
