%104
1 1 1 22
1 3 1 22
1 8 1 21
1 9 1 22
1 11 1 21
3 1 1 22
3 3 1 22
3 8 1 21
3 9 1 22
3 11 1 21
8 1 1 12
8 3 1 12
8 8 1 12
8 10 1 12
9 1 1 22
9 3 1 22
9 8 1 21
9 9 1 22
9 11 1 21
11 1 1 12
11 3 1 12
11 8 1 12
11 10 1 12
1 1 2 12
1 3 2 12
1 8 2 12
1 10 2 12
2 1 2 21
2 2 2 22
2 4 2 22
2 8 2 22
2 10 2 22
4 1 2 11
4 2 2 22
4 4 2 22
4 8 2 22
4 10 2 21
4 11 2 11
8 1 2 21
8 2 2 22
8 4 2 22
8 8 2 22
8 10 2 22
10 1 2 21
10 2 2 22
10 4 2 21
10 8 2 22
10 10 2 22
2 2 3 12
2 4 3 12
2 7 3 12
2 9 3 12
3 2 3 21
3 3 3 22
3 5 3 22
3 7 3 22
3 9 3 22
5 2 3 11
5 3 3 22
5 5 3 22
5 7 3 22
5 9 3 21
5 10 3 11
7 2 3 21
7 3 3 22
7 5 3 22
7 7 3 22
7 9 3 22
9 2 3 21
9 3 3 22
9 5 3 21
9 7 3 22
9 9 3 22
3 3 4 12
3 5 4 12
3 7 4 12
3 9 4 11
4 3 4 21
4 4 4 22
4 6 4 22
4 8 4 22
6 3 4 21
6 4 4 22
6 6 4 22
6 8 4 22
8 3 4 21
8 4 4 22
8 6 4 22
8 8 4 22
3 4 5 21
3 5 5 22
3 7 5 22
4 3 5 11
4 9 5 11
5 3 5 22
5 5 5 22
5 7 5 22
5 9 5 21
7 3 5 22
7 5 5 22
7 7 5 22
7 9 5 21
9 4 5 12
9 7 5 12
