2023/05/25 13:50:24.586269967,"{'stamp': {'secs': 1684990224, 'nsecs': 585616656}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5707988440041654, 1.562679352621368e-06, -3.4982222424197864e-10, 9.533834157607622e-06, 1.5708000804516589, -1.2332223070654076e-05, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.595896534,"{'stamp': {'secs': 1684990224, 'nsecs': 595620549}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5707909848873836, 1.2186661858500132e-05, -2.728112552504142e-09, 7.435025803526689e-05, 1.570800627407767, -9.617368545475996e-05, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.606002494,"{'stamp': {'secs': 1684990224, 'nsecs': 605592223}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5707705187298273, 3.9852887704973206e-05, -8.921488465329133e-09, 0.0002431406170713226, 1.570802051752283, -0.00031450770777960056, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.615993163,"{'stamp': {'secs': 1684990224, 'nsecs': 615612721}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5707326509826034, 9.104264543639961e-05, -2.038085463534756e-08, 0.0005554469516759631, 1.5708046871623709, -0.000718482784443743, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.626169376,"{'stamp': {'secs': 1684990224, 'nsecs': 625625933}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5706729516998255, 0.00017174435193272918, -3.844678122438958e-08, 0.0010478043151243774, 1.5708088419406083, -0.0013553578061976978, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.636254863,"{'stamp': {'secs': 1684990224, 'nsecs': 635617475}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.570588362121394, 0.00028609285016508373, -6.40448963612346e-08, 0.001745439192356228, 1.5708147289617458, -0.0022577637832333257, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.646390701,"{'stamp': {'secs': 1684990224, 'nsecs': 645613656}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5704766335935594, 0.00043712787841018974, -9.785567746007138e-08, 0.0026668968854286707, 1.570822504721091, -0.0034496894695084475, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.655823291,"{'stamp': {'secs': 1684990224, 'nsecs': 655619622}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5703357829710982, 0.0006275302595569389, -1.4047925494702846e-07, 0.0038285329702861482, 1.570832307235857, -0.004952291160345752, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.665971452,"{'stamp': {'secs': 1684990224, 'nsecs': 665623027}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.5701645769763697, 0.0008589671427836523, -1.9228883771664014e-07, 0.005240518646641155, 1.5708442223361387, -0.006778725525105863, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
2023/05/25 13:50:24.676125381,"{'stamp': {'secs': 1684990224, 'nsecs': 675744374}, 'frame_id': ''}","['joint_1', 'joint_2', 'joint_4', 'joint_5', 'joint_3', 'joint_6', 'joint_gripper']","[1.569962705747351, 0.0011318574006936272, -2.5337819481084936e-07, 0.006905409436793453, 1.570858271586818, -0.008932298187794995, 0.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, nan, nan, nan, nan, nan]"
