%camera 4
1 3 1 22
1 5 1 22
3 3 1 22
3 5 1 22
4 1 1 12
5 1 1 22
5 3 1 22
5 5 1 22
7 4 1 21
7 5 1 22
1 3 2 12
1 5 2 11
1 6 2 21
2 3 2 21
2 4 2 22
3 6 2 21
4 1 2 21
4 2 2 22
4 4 2 22
5 6 2 21
6 1 2 21
6 2 2 22
6 4 2 22
7 6 2 21
8 4 2 12
1 3 3 22
1 5 3 22
3 1 3 22
3 3 3 22
3 5 3 22
5 1 3 22
5 3 3 22
5 5 3 22
7 1 3 12
7 3 3 11
7 4 3 21
7 5 3 22
1 3 4 12
1 5 4 11
1 6 4 21
2 3 4 21
2 4 4 22
3 1 4 12
3 6 4 21
4 1 4 21
4 2 4 22
4 4 4 22
5 6 4 21
6 1 4 21
6 2 4 22
6 4 4 22
7 6 4 21
8 4 4 11
